Source,Target,Weight,Type
00_Forgot About Dre,01_Still D.R.E.,4,undirected
00_Forgot About Dre,03_Deep Cover,4,undirected
00_Forgot About Dre,S_2000,1,undirected
00_What’s the Difference,01_Still D.R.E.,2,undirected
00_What’s the Difference,E_1999,1,undirected
00_What’s the Difference,S_2000,3,undirected
01_Still D.R.E.,00_Forgot About Dre,4,undirected
01_Still D.R.E.,00_What’s the Difference,2,undirected
01_Still D.R.E.,02_Genocide,1,undirected
01_Still D.R.E.,02_The Recipe,6,undirected
01_Still D.R.E.,J_2007,1,undirected
02_Deep Water,02_Genocide,6,undirected
02_Deep Water,02_The Recipe,1,undirected
02_Deep Water,03_Deep Cover,2,undirected
02_Genocide,01_Still D.R.E.,1,undirected
02_Genocide,02_Deep Water,6,undirected
02_Genocide,02_The Recipe,3,undirected
02_The Recipe,01_Still D.R.E.,6,undirected
02_The Recipe,02_Deep Water,1,undirected
02_The Recipe,02_Genocide,3,undirected
02_The Recipe,J_1998,2,undirected
03_Deep Cover,00_Forgot About Dre,4,undirected
03_Deep Cover,02_Deep Water,2,undirected
03_Deep Cover,S_1993,2,undirected
03_Deep Cover,S_2003,3,undirected
E_1996,E_1999,1,undirected
E_1996,E_2002,3,undirected
E_1996,E_2004,2,undirected
E_1997,E_1998,1,undirected
E_1997,E_1999,4,undirected
E_1997,E_2013,3,undirected
E_1997,S_1999,2,undirected
E_1998,E_1997,1,undirected
E_1998,E_1999,6,undirected
E_1998,E_2013,2,undirected
E_1998,E_2014,1,undirected
E_1999,00_What’s the Difference,1,undirected
E_1999,E_1996,1,undirected
E_1999,E_1997,4,undirected
E_1999,E_1998,6,undirected
E_1999,E_2004,1,undirected
E_2000,E_2002,2,undirected
E_2000,E_2010,1,undirected
E_2000,E_2013,6,undirected
E_2002,E_1996,3,undirected
E_2002,E_2000,2,undirected
E_2002,E_2004,3,undirected
E_2002,E_2010,3,undirected
E_2002,E_2011,2,undirected
E_2002,E_2013,1,undirected
E_2004,E_1996,2,undirected
E_2004,E_1999,1,undirected
E_2004,E_2002,3,undirected
E_2004,E_2009,4,undirected
E_2004,E_2010,6,undirected
E_2004,E_2014,1,undirected
E_2009,E_2004,4,undirected
E_2009,E_2010,5,undirected
E_2009,E_2011,1,undirected
E_2009,E_2013,2,undirected
E_2009,E_2014,2,undirected
E_2010,E_2000,1,undirected
E_2010,E_2002,3,undirected
E_2010,E_2004,6,undirected
E_2010,E_2009,5,undirected
E_2010,E_2011,3,undirected
E_2010,E_2013,3,undirected
E_2011,E_2002,2,undirected
E_2011,E_2009,1,undirected
E_2011,E_2010,3,undirected
E_2013,E_1997,3,undirected
E_2013,E_1998,2,undirected
E_2013,E_2000,6,undirected
E_2013,E_2002,1,undirected
E_2013,E_2009,2,undirected
E_2013,E_2010,3,undirected
E_2013,E_2014,3,undirected
E_2014,E_1998,1,undirected
E_2014,E_2004,1,undirected
E_2014,E_2009,2,undirected
E_2014,E_2013,3,undirected
J_1996,J_1997,5,undirected
J_1996,J_1998,4,undirected
J_1996,J_1999,1,undirected
J_1997,J_1996,5,undirected
J_1997,J_1998,6,undirected
J_1997,J_1999,4,undirected
J_1997,J_2001,1,undirected
J_1997,S_1996,1,undirected
J_1998,02_The Recipe,2,undirected
J_1998,J_1996,4,undirected
J_1998,J_1997,6,undirected
J_1998,J_1999,1,undirected
J_1998,J_2002,3,undirected
J_1999,J_1996,1,undirected
J_1999,J_1997,4,undirected
J_1999,J_1998,1,undirected
J_1999,J_2001,5,undirected
J_1999,J_2003,1,undirected
J_2001,J_1997,1,undirected
J_2001,J_1999,5,undirected
J_2001,J_2006,2,undirected
J_2002,J_1998,3,undirected
J_2002,J_2003,6,undirected
J_2002,J_2006,1,undirected
J_2002,J_2009,4,undirected
J_2002,S_2006,2,undirected
J_2003,J_1999,1,undirected
J_2003,J_2002,6,undirected
J_2003,J_2006,5,undirected
J_2006,J_2001,2,undirected
J_2006,J_2002,1,undirected
J_2006,J_2003,5,undirected
J_2006,J_2007,5,undirected
J_2006,J_2009,1,undirected
J_2007,01_Still D.R.E.,1,undirected
J_2007,J_2006,5,undirected
