Source,Target,Weight,Type
E_1,E_169,1,undirected
E_1,E_355,3,undirected
E_1,E_43,2,undirected
E_10,E_171,1,undirected
E_10,E_213,5,undirected
E_10,E_298,4,undirected
E_10,E_39,3,undirected
E_101,E_188,2,undirected
E_101,E_199,4,undirected
E_101,E_355,2,undirected
E_101,K_231,3,undirected
E_104,E_177,1,undirected
E_104,E_261,3,undirected
E_104,E_351,2,undirected
E_105,E_171,3,undirected
E_105,E_186,3,undirected
E_105,E_189,3,undirected
E_105,E_191,1,undirected
E_105,E_224,2,undirected
E_105,E_24,1,undirected
E_105,E_244,2,undirected
E_105,E_255,6,undirected
E_105,E_274,2,undirected
E_105,E_293,2,undirected
E_105,E_304,2,undirected
E_105,E_313,1,undirected
E_105,E_342,2,undirected
E_105,E_36,2,undirected
E_105,E_43,1,undirected
E_105,E_73,1,undirected
E_105,E_93,3,undirected
E_105,K_71,3,undirected
E_107,E_171,2,undirected
E_107,E_177,1,undirected
E_107,E_203,1,undirected
E_107,E_67,1,undirected
E_107,K_231,3,undirected
E_107,K_81,2,undirected
E_108,E_24,3,undirected
E_108,E_313,1,undirected
E_108,E_89,2,undirected
E_109,E_171,1,undirected
E_109,E_179,3,undirected
E_109,E_308,3,undirected
E_109,E_47,2,undirected
E_109,E_77,2,undirected
E_110,E_177,3,undirected
E_110,E_305,2,undirected
E_110,E_43,1,undirected
E_113,E_169,3,undirected
E_113,E_43,1,undirected
E_113,K_259,2,undirected
E_116,E_169,3,undirected
E_116,E_246,5,undirected
E_116,E_298,1,undirected
E_120,E_33,1,undirected
E_120,E_355,2,undirected
E_120,K_231,3,undirected
E_121,E_171,3,undirected
E_121,E_193,2,undirected
E_121,E_204,1,undirected
E_121,E_213,2,undirected
E_121,E_262,2,undirected
E_121,E_43,1,undirected
E_122,E_30,1,undirected
E_122,E_342,2,undirected
E_122,E_47,3,undirected
E_123,E_171,3,undirected
E_123,E_24,2,undirected
E_123,E_313,1,undirected
E_125,E_171,3,undirected
E_125,E_24,4,undirected
E_125,E_257,1,undirected
E_125,E_313,1,undirected
E_125,E_64,1,undirected
E_126,E_177,3,undirected
E_126,E_275,2,undirected
E_126,E_63,1,undirected
E_126,E_93,1,undirected
E_128,E_300,3,undirected
E_128,E_352,6,undirected
E_128,E_47,1,undirected
E_128,E_89,2,undirected
E_130,E_134,3,undirected
E_130,E_141,1,undirected
E_130,E_142,2,undirected
E_130,E_148,3,undirected
E_130,E_169,3,undirected
E_130,E_171,3,undirected
E_130,E_174,3,undirected
E_130,E_186,1,undirected
E_130,E_189,2,undirected
E_130,E_216,3,undirected
E_130,E_244,3,undirected
E_130,E_252,3,undirected
E_130,E_257,2,undirected
E_130,E_261,3,undirected
E_130,E_275,1,undirected
E_130,E_277,3,undirected
E_130,E_284,3,undirected
E_130,E_293,1,undirected
E_130,E_327,1,undirected
E_130,E_329,1,undirected
E_130,E_33,2,undirected
E_130,E_342,2,undirected
E_130,E_351,2,undirected
E_130,E_352,2,undirected
E_130,E_38,3,undirected
E_130,E_4,2,undirected
E_130,E_42,3,undirected
E_130,E_48,1,undirected
E_130,E_51,2,undirected
E_130,E_54,1,undirected
E_130,E_6,1,undirected
E_130,E_75,3,undirected
E_130,E_97,2,undirected
E_130,K_100,3,undirected
E_130,K_110,3,undirected
E_130,K_154,2,undirected
E_130,K_231,1,undirected
E_130,K_42,2,undirected
E_130,K_52,1,undirected
E_130,K_6,2,undirected
E_134,E_130,3,undirected
E_134,E_147,3,undirected
E_134,E_284,4,undirected
E_134,E_314,1,undirected
E_134,E_43,1,undirected
E_134,E_53,2,undirected
E_139,E_177,3,undirected
E_139,E_179,1,undirected
E_139,E_207,2,undirected
E_139,E_208,3,undirected
E_139,E_224,1,undirected
E_139,E_284,1,undirected
E_139,E_30,4,undirected
E_139,E_329,2,undirected
E_139,E_348,2,undirected
E_139,E_38,2,undirected
E_139,E_77,3,undirected
E_139,E_84,2,undirected
E_140,E_169,2,undirected
E_140,E_171,3,undirected
E_140,E_342,1,undirected
E_141,E_130,1,undirected
E_141,E_355,3,undirected
E_141,E_97,2,undirected
E_142,E_130,2,undirected
E_142,E_179,1,undirected
E_142,E_252,3,undirected
E_146,E_244,1,undirected
E_146,E_306,3,undirected
E_146,E_308,2,undirected
E_147,E_134,3,undirected
E_147,E_252,2,undirected
E_147,E_51,1,undirected
E_148,E_130,3,undirected
E_148,K_207,2,undirected
E_148,K_42,1,undirected
E_151,E_21,3,undirected
E_151,E_298,3,undirected
E_151,E_89,2,undirected
E_151,K_232,1,undirected
E_151,K_94,1,undirected
E_152,E_230,3,undirected
E_152,E_42,2,undirected
E_152,E_97,1,undirected
E_158,E_169,3,undirected
E_158,E_171,2,undirected
E_158,E_275,1,undirected
E_162,E_169,1,undirected
E_162,E_244,3,undirected
E_162,K_165,2,undirected
E_164,E_321,3,undirected
E_164,E_42,1,undirected
E_164,E_91,2,undirected
E_165,E_179,3,undirected
E_165,E_313,1,undirected
E_165,E_322,2,undirected
E_166,E_169,3,undirected
E_166,E_269,1,undirected
E_166,E_43,2,undirected
E_167,E_169,3,undirected
E_167,E_30,1,undirected
E_167,K_229,2,undirected
E_168,E_169,2,undirected
E_168,E_337,1,undirected
E_168,E_354,6,undirected
E_169,E_1,1,undirected
E_169,E_113,3,undirected
E_169,E_116,3,undirected
E_169,E_130,3,undirected
E_169,E_140,2,undirected
E_169,E_158,3,undirected
E_169,E_162,1,undirected
E_169,E_166,3,undirected
E_169,E_167,3,undirected
E_169,E_168,2,undirected
E_169,E_178,1,undirected
E_169,E_179,2,undirected
E_169,E_209,3,undirected
E_169,E_227,1,undirected
E_169,E_232,3,undirected
E_169,E_251,3,undirected
E_169,E_254,3,undirected
E_169,E_280,3,undirected
E_169,E_287,2,undirected
E_169,E_29,1,undirected
E_169,E_293,3,undirected
E_169,E_308,1,undirected
E_169,E_314,3,undirected
E_169,E_318,2,undirected
E_169,E_32,2,undirected
E_169,E_321,2,undirected
E_169,E_332,2,undirected
E_169,E_337,3,undirected
E_169,E_34,2,undirected
E_169,E_342,5,undirected
E_169,E_343,3,undirected
E_169,E_345,3,undirected
E_169,E_354,1,undirected
E_169,E_39,2,undirected
E_169,E_41,3,undirected
E_169,E_49,1,undirected
E_169,E_51,1,undirected
E_169,E_59,3,undirected
E_169,E_62,1,undirected
E_169,E_67,2,undirected
E_169,E_73,3,undirected
E_169,E_86,1,undirected
E_169,E_91,1,undirected
E_169,E_97,3,undirected
E_169,K_110,2,undirected
E_169,K_162,2,undirected
E_169,K_22,1,undirected
E_169,K_229,3,undirected
E_169,K_235,1,undirected
E_169,K_254,1,undirected
E_169,K_57,2,undirected
E_169,K_64,3,undirected
E_169,K_94,2,undirected
E_169,K_96,3,undirected
E_169,K_97,1,undirected
E_171,E_10,1,undirected
E_171,E_105,3,undirected
E_171,E_107,2,undirected
E_171,E_109,1,undirected
E_171,E_121,3,undirected
E_171,E_123,3,undirected
E_171,E_125,3,undirected
E_171,E_130,3,undirected
E_171,E_140,3,undirected
E_171,E_158,2,undirected
E_171,E_177,2,undirected
E_171,E_186,2,undirected
E_171,E_202,3,undirected
E_171,E_206,3,undirected
E_171,E_208,2,undirected
E_171,E_219,2,undirected
E_171,E_223,3,undirected
E_171,E_225,2,undirected
E_171,E_230,2,undirected
E_171,E_231,2,undirected
E_171,E_244,1,undirected
E_171,E_252,2,undirected
E_171,E_254,2,undirected
E_171,E_255,2,undirected
E_171,E_262,1,undirected
E_171,E_265,3,undirected
E_171,E_269,3,undirected
E_171,E_271,1,undirected
E_171,E_275,2,undirected
E_171,E_277,2,undirected
E_171,E_292,3,undirected
E_171,E_304,1,undirected
E_171,E_309,3,undirected
E_171,E_313,6,undirected
E_171,E_318,1,undirected
E_171,E_322,3,undirected
E_171,E_329,3,undirected
E_171,E_330,3,undirected
E_171,E_34,1,undirected
E_171,E_342,5,undirected
E_171,E_41,1,undirected
E_171,E_43,3,undirected
E_171,E_54,3,undirected
E_171,E_64,2,undirected
E_171,E_72,3,undirected
E_171,E_75,1,undirected
E_171,E_89,3,undirected
E_174,E_130,3,undirected
E_174,E_204,3,undirected
E_174,E_214,3,undirected
E_174,E_321,1,undirected
E_174,E_36,2,undirected
E_174,E_47,1,undirected
E_174,E_91,2,undirected
E_175,E_321,3,undirected
E_175,E_75,2,undirected
E_175,K_229,1,undirected
E_177,E_104,1,undirected
E_177,E_107,1,undirected
E_177,E_110,3,undirected
E_177,E_126,3,undirected
E_177,E_139,3,undirected
E_177,E_171,2,undirected
E_177,E_180,2,undirected
E_177,E_182,2,undirected
E_177,E_188,3,undirected
E_177,E_216,1,undirected
E_177,E_275,3,undirected
E_177,E_287,1,undirected
E_177,E_305,6,undirected
E_177,E_309,2,undirected
E_177,E_322,1,undirected
E_177,E_33,1,undirected
E_177,E_45,1,undirected
E_177,E_46,2,undirected
E_177,E_62,2,undirected
E_177,E_92,1,undirected
E_177,K_146,2,undirected
E_178,E_169,1,undirected
E_178,E_179,3,undirected
E_178,E_197,1,undirected
E_178,E_355,2,undirected
E_179,E_109,3,undirected
E_179,E_139,1,undirected
E_179,E_142,1,undirected
E_179,E_165,3,undirected
E_179,E_169,2,undirected
E_179,E_178,3,undirected
E_179,E_200,1,undirected
E_179,E_202,2,undirected
E_179,E_204,2,undirected
E_179,E_294,3,undirected
E_179,E_305,4,undirected
E_179,E_339,3,undirected
E_179,E_343,2,undirected
E_179,E_42,1,undirected
E_179,E_47,6,undirected
E_179,E_62,3,undirected
E_179,E_89,1,undirected
E_179,E_94,2,undirected
E_179,K_236,1,undirected
E_180,E_177,2,undirected
E_180,E_269,3,undirected
E_180,E_51,1,undirected
E_181,E_355,1,undirected
E_181,E_43,2,undirected
E_181,K_71,3,undirected
E_182,E_177,2,undirected
E_182,E_200,1,undirected
E_182,K_231,3,undirected
E_184,E_342,1,undirected
E_184,E_42,2,undirected
E_184,K_71,3,undirected
E_186,E_105,3,undirected
E_186,E_130,1,undirected
E_186,E_171,2,undirected
E_186,E_31,3,undirected
E_186,K_213,3,undirected
E_186,O_16,2,undirected
E_188,E_101,2,undirected
E_188,E_177,3,undirected
E_188,E_322,1,undirected
E_189,E_105,3,undirected
E_189,E_130,2,undirected
E_189,E_342,1,undirected
E_191,E_105,1,undirected
E_191,E_24,2,undirected
E_191,E_313,3,undirected
E_193,E_121,2,undirected
E_193,E_244,1,undirected
E_193,E_269,3,undirected
E_195,E_208,1,undirected
E_195,E_355,1,undirected
E_195,E_56,2,undirected
E_195,K_231,3,undirected
E_195,K_27,2,undirected
E_197,E_178,1,undirected
E_197,E_200,2,undirected
E_197,E_30,3,undirected
E_199,E_101,4,undirected
E_199,E_348,2,undirected
E_199,K_232,1,undirected
E_200,E_179,1,undirected
E_200,E_182,1,undirected
E_200,E_197,2,undirected
E_200,E_47,2,undirected
E_200,E_84,6,undirected
E_202,E_171,3,undirected
E_202,E_179,2,undirected
E_202,E_211,1,undirected
E_202,E_231,1,undirected
E_203,E_107,1,undirected
E_203,E_355,2,undirected
E_203,K_42,3,undirected
E_204,E_121,1,undirected
E_204,E_174,3,undirected
E_204,E_179,2,undirected
E_204,K_215,1,undirected
E_206,E_171,3,undirected
E_206,E_72,2,undirected
E_206,K_207,1,undirected
E_207,E_139,2,undirected
E_207,E_351,3,undirected
E_207,K_231,1,undirected
E_208,E_139,3,undirected
E_208,E_171,2,undirected
E_208,E_195,1,undirected
E_209,E_169,3,undirected
E_209,E_42,1,undirected
E_209,K_41,2,undirected
E_21,E_151,3,undirected
E_21,E_30,2,undirected
E_21,E_89,1,undirected
E_211,E_202,1,undirected
E_211,E_97,2,undirected
E_211,K_27,3,undirected
E_213,E_10,5,undirected
E_213,E_121,2,undirected
E_213,E_255,1,undirected
E_213,E_269,2,undirected
E_213,E_29,3,undirected
E_213,E_298,6,undirected
E_213,E_320,3,undirected
E_213,E_355,3,undirected
E_213,E_56,1,undirected
E_213,E_86,3,undirected
E_214,E_174,3,undirected
E_214,E_244,2,undirected
E_214,E_42,1,undirected
E_216,E_130,3,undirected
E_216,E_177,1,undirected
E_216,E_4,2,undirected
E_219,E_171,2,undirected
E_219,E_313,3,undirected
E_219,E_355,1,undirected
E_220,E_305,3,undirected
E_220,E_352,2,undirected
E_220,E_89,1,undirected
E_223,E_171,3,undirected
E_223,E_43,2,undirected
E_223,K_231,1,undirected
E_224,E_105,2,undirected
E_224,E_139,1,undirected
E_224,E_30,3,undirected
E_225,E_171,2,undirected
E_225,E_322,1,undirected
E_225,E_330,2,undirected
E_225,E_42,3,undirected
E_227,E_169,1,undirected
E_227,E_231,2,undirected
